Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:54:42,30.50,96.7,0.12,not detected,not detected,flame detected,0.0,0.0,
09:54:44,30.50,96.7,0.00,not detected,not detected,flame detected,0.0,0.0,
09:54:44,30.50,96.7,0.00,not detected,not detected,flame detected,0.0,0.0,
09:54:44,30.50,96.7,0.00,not detected,not detected,flame detected,0.0,0.0,
09:54:44,30.50,96.7,0.11,not detected,not detected,flame detected,0.0,0.0,
09:54:44,30.50,96.7,0.88,not detected,not detected,flame detected,0.0,0.0,
09:54:44,30.50,96.7,0.88,not detected,not detected,flame detected,0.0,0.0,
09:54:48,30.50,96.7,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:48,30.50,96.7,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:48,30.50,96.7,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:49,30.50,96.7,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:49,30.50,96.7,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:49,30.50,96.7,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:50,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:51,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:51,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:51,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:51,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:51,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:52,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:53,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:53,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
09:54:53,30.50,96.6,0.19,not detected,not detected,flame detected,0.0,0.0,
